"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4600","FailedRegistrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","FailedRegistrationTest"
"","6555","ChangeCurrencyTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.CurrencyTests","Surefire test","tests.CurrencyTests","ChangeCurrencyTest"
"","4601","FailedRegistrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","FailedRegistrationTest"
"","3819","BreadcrumbAndSideMenuTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.BreadcrumbTests","Surefire test","tests.BreadcrumbTests","BreadcrumbAndSideMenuTest"
"","6848","ChangeCurrencyTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.CurrencyTests","Surefire test","tests.CurrencyTests","ChangeCurrencyTest"
"","5527","SearchByNameTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","SearchByNameTest"
"","1710","InvalidLoginTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","InvalidLoginTest"
"","3824","BreadcrumbAndSideMenuTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.BreadcrumbTests","Surefire test","tests.BreadcrumbTests","BreadcrumbAndSideMenuTest"
"","3181","SearchByNameTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","SearchByNameTest"
"","8049","ValidLoginTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","ValidLoginTest"
"","6618","SortByNameTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SortTests","Surefire test","tests.SortTests","SortByNameTest"
"","9628","ChangeCurrencyTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.CurrencyTests","Surefire test","tests.CurrencyTests","ChangeCurrencyTest"
"","22621","testNormalCheckoutProcess","Surefire suite","2026-05-01","passed","2026-05-01","tests.CheckoutTests","Surefire test","tests.CheckoutTests","testNormalCheckoutProcess"
"","4700","SuccessfulRegistrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","SuccessfulRegistrationTest"
"","7454","SearchInSubcategoriesTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","SearchInSubcategoriesTest"
"","26820","testNormalCheckoutProcess","Surefire suite","2026-05-01","passed","2026-05-01","tests.CheckoutTests","Surefire test","tests.CheckoutTests","testNormalCheckoutProcess"
"","11545","testAddItemsToCartAndCompare","Surefire suite","2026-05-01","passed","2026-05-01","tests.ShoppingCartTests","Surefire test","tests.ShoppingCartTests","testAddItemsToCartAndCompare"
"","3576","SearchByNameTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","SearchByNameTest"
"","5459","BreadcrumbAndSideMenuTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.BreadcrumbTests","Surefire test","tests.BreadcrumbTests","BreadcrumbAndSideMenuTest"
"","5642","SortByNameTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SortTests","Surefire test","tests.SortTests","SortByNameTest"
"","3827","SuccessfulRegistrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","SuccessfulRegistrationTest"
"","5199","ValidLoginTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","ValidLoginTest"
"","2630","InvalidLoginTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","InvalidLoginTest"
